,epoch,train_loss,val_loss
0,1,9.750362571779188,0.0
1,2,7.488247287142408,0.0
2,3,6.763682533096481,0.0
3,4,6.480483042014824,0.0
4,5,6.239653244123354,0.0
5,6,5.997569099887387,0.0
6,7,5.871292640874674,0.0
7,8,5.73229854447501,0.0
8,9,5.575334066873069,0.0
9,10,5.465625810099172,1006.1949319839478
10,11,5.344542081539448,0.0
11,12,5.250584956053849,0.0
12,13,5.1151409935165235,0.0
13,14,5.048925478379805,0.0
14,15,4.944065536771502,0.0
15,16,4.859564692109496,0.0
16,17,4.820454885671427,0.0
17,18,4.787293876920428,0.0
18,19,4.721248648978851,0.0
19,20,4.653740626115066,872.8899734020233
20,21,4.5925543779855245,0.0
21,22,4.573855206206605,0.0
22,23,4.455394780242836,0.0
23,24,4.417558718513656,0.0
24,25,4.402773637038011,0.0
25,26,4.334448308735103,0.0
26,27,4.290882541583135,0.0
27,28,4.28762979559846,0.0
28,29,4.237168145703746,0.0
29,30,4.182885739829514,806.8441271781921
30,31,4.145977498410822,0.0
31,32,4.08987125983605,0.0
32,33,4.086494141882593,0.0
33,34,4.079061075881287,0.0
34,35,4.024379223257631,0.0
35,36,4.01313445856283,0.0
36,37,3.9367558772747335,0.0
37,38,3.931188313515632,0.0
38,39,3.8918254611256358,0.0
39,40,3.858030464623001,754.194766998291
40,41,3.840043616818858,0.0
41,42,3.8116881349584557,0.0
42,43,3.8245909685616963,0.0
43,44,3.8019304865009182,0.0
44,45,3.7225715629347076,0.0
45,46,3.709500083556542,0.0
46,47,3.6848824259999033,0.0
47,48,3.6887068145877713,0.0
48,49,3.6246173814102844,0.0
49,50,3.6359002786678274,723.5472257137299
50,51,3.6202472697247514,0.0
51,52,3.576601207911313,0.0
52,53,3.5831616121334036,0.0
53,54,3.5437506437301636,0.0
54,55,3.5242581367492676,0.0
55,56,3.4999810260730784,0.0
56,57,3.522470365513812,0.0
57,58,3.481682988313528,0.0
58,59,3.421325149116935,0.0
59,60,3.4811905177084954,719.2118563652039
60,61,3.4078338211709327,0.0
61,62,3.465064682803311,0.0
62,63,3.387334949367649,0.0
63,64,3.3898883141004124,0.0
64,65,3.366983236847343,0.0
65,66,3.3773933151266076,0.0
66,67,3.340036685650165,0.0
67,68,3.306325898065672,0.0
68,69,3.287128901743627,0.0
69,70,3.2481758437313877,701.7660212516785
70,71,3.2398519686290195,0.0
71,72,3.279805708717514,0.0
72,73,3.2289444443943736,0.0
73,74,3.243213881503095,0.0
74,75,3.20697249685015,0.0
75,76,3.224786468914577,0.0
76,77,3.203158914387881,0.0
77,78,3.1959279841119117,0.0
78,79,3.1875905440403867,0.0
79,80,3.170416642021347,684.567792892456
80,81,3.1687231876037933,0.0
81,82,3.141364473562974,0.0
82,83,3.1368390216932194,0.0
83,84,3.1208265810222415,0.0
84,85,3.088821775310642,0.0
85,86,3.0612554995568244,0.0
86,87,3.0501716163132215,0.0
87,88,3.0797181208055098,0.0
88,89,3.0122724902498854,0.0
89,90,3.0268901350734,679.4790661334991
90,91,3.023505598634154,0.0
91,92,2.995604551755465,0.0
92,93,3.004230707556337,0.0
93,94,3.0030288290191485,0.0
94,95,2.9696842340322642,0.0
95,96,2.9923867602924723,0.0
96,97,2.9713974588519925,0.0
97,98,2.952083299448202,0.0
98,99,2.9556415238223233,0.0
99,100,2.936899041081523,683.238133430481
100,101,2.896731890164889,0.0
